เลขกลุ่มสาระ, ชื่อกลุ่มสาระ, เลขสาระ,ชื่อสาระ,หมวดมาตรฐาน,เลขมาตรฐาน,ชื่อมาตรฐาน,กลุ่มที่, เลขตัวชี้วัดระหว่างทาง, รายละเอียดตัวชี้วัดนะหว่างทาง,เลขตัวชี้วัดปลายทาง,รายละเอียดตัวชี้วัดปลายทาง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,สามารถเลือกฟังและดูอย่างมีวิจารณญาณ และพูดแสดงความรู้ ความคิด และความรู้สึกในโอกาสต่าง ๆ อย่างมีวิจารณญาณและสร้างสรรค์,4,-,-,ท 3.1 ป.1/1,ฟังคําแนะนํา คําสั่งง่าย ๆ และปฏิบัติตาม
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,สามารถเลือกฟังและดูอย่างมีวิจารณญาณ และพูดแสดงความรู้ ความคิด และความรู้สึกในโอกาสต่าง ๆ อย่างมีวิจารณญาณและสร้างสรรค์,5,ท 3.1 ป.1/2,ตอบคําถามและเล่าเรื่องที่ฟังและดู ทั้งที่เป็นความรู้และความบันเทิง,ท 3.1 ป.1/4,พูดสื่อสารได้ตามวัตถุประสงค์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,สามารถเลือกฟังและดูอย่างมีวิจารณญาณ และพูดแสดงความรู้ ความคิด และความรู้สึกในโอกาสต่าง ๆ อย่างมีวิจารณญาณและสร้างสรรค์,5,ท 3.1 ป.1/3,พูดแสดงความคิดเห็นและความรู้สึกจากเรื่องที่ฟังและดู,ท 3.1 ป.1/4,พูดสื่อสารได้ตามวัตถุประสงค์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,สามารถเลือกฟังและดูอย่างมีวิจารณญาณ และพูดแสดงความรู้ ความคิด และความรู้สึกในโอกาสต่าง ๆ อย่างมีวิจารณญาณและสร้างสรรค์,5,ท 3.1 ป.1/5,มีมารยาทในการฟัง การดู และการพูด,ท 3.1 ป.1/4,พูดสื่อสารได้ตามวัตถุประสงค์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,4,หลักการใช้ภาษาไทย,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,6,ท 4.1 ป.1/4,ต่อคําคล้องจองง่าย ๆ,ท 4.1 ป.1/2,เรียบเรียงคําเป็นประโยคง่าย ๆ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,5,วรรณคดีและวรรณกรรม,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,7,-,-,ท 5.1 ป.1/1,บอกข้อคิดที่ได้จากการอ่านหรือการฟังวรรณกรรมร้อยแก้ว และร้อยกรองสําหรับเด็ก
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,5,วรรณคดีและวรรณกรรม,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,8,-,-,ท 5.1 ป.1/2,ท่องจําบทอาขยานตามที่กําหนด และบทร้อยกรองตามความสนใจ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1 ,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,1,-,-,ท 1.1 ป.2/1,อ่านออกเสียงคํา คําคล้องจอง ข้อความ และบทร้อยกรองง่าย ๆ ได้ถูกต้อง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1 ,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.2/2,อธิบายความหมายของคําและข้อความที่อ่าน,ท 1.1 ป.2/4,ระบุใจความสําคัญ และรายละเอียดจากเรื่องที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1 ,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.2/3,ตั้งคําถามและตอบคําถามเกี่ยวกับเรื่องที่อ่าน,ท 1.1 ป.2/4,ระบุใจความสําคัญ และรายละเอียดจากเรื่องที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1 ,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.2/6,อ่านหนังสือตามความสนใจอย่างสม่ําเสมอ และนําเสนอเรื่องที่อ่าน,ท 1.1 ป.2/4,ระบุใจความสําคัญ และรายละเอียดจากเรื่องที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1 ,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.2/7,อ่านข้อเขียนเชิงอธิบาย และปฏิบัติตามคําสั่งหรือข้อแนะนํา,ท 1.1 ป.2/4,ระบุใจความสําคัญ และรายละเอียดจากเรื่องที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1 ,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,2,ท 1.1 ป.2/8,มีมารยาทในการอ่าน,ท 1.1 ป.2/4,ระบุใจความสําคัญ และรายละเอียดจากเรื่องที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1 ,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,3,-,-,ท 1.1 ป.2/5,แสดงความคิดเห็น และคาดคะเเหตุการณ์จากเรื่องที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 2 ,ท 2.1,2.1 ใช้กระบวนการเขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่าง ๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ,4,ท 2.1 ป.2/1,คัดลายมือตัวบรรจงเต็มบรรทัด,ท 2.1 ป.2/2,เขียนเรื่องสั้น ๆ เกี่ยวกับประสบการณ์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,4,ท 2.1 ป.2/3,เขียนเรื่องสั้น ๆ ตามจินตนาการ,ท 2.1 ป.2/2,เขียนเรื่องสั้น ๆ เกี่ยวกับประสบการณ์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,4,ท 2.1 ป.2/4,มีมารยาทในการเขียน,ท 2.1 ป.2/2,เขียนเรื่องสั้น ๆ เกี่ยวกับประสบการณ์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,4,ท 4.1 ป.2/1,บอกและเขียนพยัญชนะ สระ วรรณยุกต์ และเลขไทย,ท 2.1 ป.2/2,เขียนเรื่องสั้น ๆ เกี่ยวกับประสบการณ์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,4,ท 4.1 ป.2/2,เขียนสะกดคําและบอกความหมายของคํา,ท 2.1 ป.2/2,เขียนเรื่องสั้น ๆ เกี่ยวกับประสบการณ์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,4,ท 4.1 ป.2/5,เลือกใช้ภาษาไทยมาตรฐานและภาษาถิ่นได้เหมาะสมกับกาลเทศะ,ท 2.1 ป.2/2,เขียนเรื่องสั้น ๆ เกี่ยวกับประสบการณ์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,3.1 ใช้กระบวนการเขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่าง ๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ,5,-,-,ท 3.1 ป.2/3,ฟังคําแนะนํา คําสั่งที่ซับซ้อน และปฏิบัติตาม
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,3.1 ใช้กระบวนการเขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่าง ๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ,6,ท 3.1 ป.2/2,เล่าเรื่องที่ฟังและดูทั้งที่เป็นความรู้และความบันเทิง,ท 3.1 ป.2/6,พูดสื่อสารได้ชัดเจน ตรงตามวัตถุประสงค์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,3.1 ใช้กระบวนการเขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่าง ๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ,6,ท 3.1 ป.2/3,บอกสาระสําคัญของเรื่องที่ฟังและดู,ท 3.1 ป.2/6,พูดสื่อสารได้ชัดเจน ตรงตามวัตถุประสงค์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,3.1 ใช้กระบวนการเขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่าง ๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ,6,ท 3.1 ป.2/4,ตั้งคําถามและตอบคําถามเกี่ยวกับเรื่องที่ฟังและดู,ท 3.1 ป.2/6,พูดสื่อสารได้ชัดเจน ตรงตามวัตถุประสงค์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,3.1 ใช้กระบวนการเขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่าง ๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ,6,ท 3.1 ป.2/5,พูดแสดงความคิดเห็นและความรู้สึกจากเรื่องที่ฟังและดู,ท 3.1 ป.2/6,พูดสื่อสารได้ชัดเจน ตรงตามวัตถุประสงค์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,3,การฟัง การดู และการพูด,ท 3,ท 3.1,3.1 ใช้กระบวนการเขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่าง ๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ,6,ท 3.1 ป.2/7,มีมารยาทในการฟัง การดู และการพูด,ท 3.1 ป.2/6,พูดสื่อสารได้ชัดเจน ตรงตามวัตถุประสงค์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,4,หลักการใช้ภาษาไทย,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,7,ท 4.1 ป.2/4,บอกลักษณะคําคล้องจอง,ท 4.1 ป.2/3,เรียบเรียงคําเป็นประโยคได้ตรงตามเจตนาของการสื่อสาร
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,5,วรรณคดีและวรรณกรรม,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,8,ท 5.1 ป.2/2,ร้องบทร้องเล่นสําหรับเด็กในท้องถิ่น,ท 5.1 ป.2/1,ระบุข้อคิดที่ได้จากการอ่านหรือการฟังวรรณกรรมสําหรับเด็กเพื่อนําไปใช้ในชีวิตประจําวัน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,5,วรรณคดีและวรรณกรรม,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,9,-,-,ท 5.1 ป.2/3,ท่องจําบทอาขยานตามที่กําหนด และบทร้อยกรองที่มีคุณค่าตามความสนใจ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 1,ท 1.1 ,1.1 ใช้กระบวนการอ่านสร้างความรู้และความคิดเพื่อนําไปใช้ตัดสินใจ แก้ปัญหาในการดําเนินชีวิต และมีนิสัยรักการอ่าน,1,-,-,ท 1.1 ป.3/1,อ่านออกเสียงคําข้อความ เรื่องสั้น ๆ และบทร้อยกรองง่าย ๆ ได้ถูกต้อง คล่องแคล่ว
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,2,ท 1.1 ป.3/2,อธิบายความหมายของคําและข้อความที่อ่าน,ท 1.1 ป.3/5,สรุปความรู้และข้อคิดจากเรื่องที่อ่านเพื่อนําไปใช้ในชีวิตประจําวัน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,2,ท 1.1 ป.3/3,ตั้งคําถามและตอบคําถามเชิงเหตุผลเกี่ยวกับเรื่องที่อ่าน,ท 5.1 ป.3/3,แสดงความคิดเห็นเกี่ยวกับวรรณคดีที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,2,ท 1.1 ป.3/4,ลําดับเหตุการณ์และคาดคะเนเหตุการณ์จากเรื่องที่อ่านโดยระบุเหตุผลประกอบ,ท 5.1 ป.3/3,แสดงความคิดเห็นเกี่ยวกับวรรณคดีที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,2,ท 1.1 ป.3/6,อ่านหนังสือตามความสนใจอย่างสม่ําเสมอ และนําเสนอเรื่องที่อ่าน,ท 5.1 ป.3/3,แสดงความคิดเห็นเกี่ยวกับวรรณคดีที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,2,ท 1.1 ป.3/7,อ่านข้อเขียนเชิงอธิบาย และปฏิบัติตามคําสั่งหรือข้อแนะนํา,ท 5.1 ป.3/3,แสดงความคิดเห็นเกี่ยวกับวรรณคดีที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,2,ท 1.1 ป.3/8,อธิบายความหมายของข้อมูลจากแผนภาพแผนที่ และแผนภูมิ,ท 5.1 ป.3/3,แสดงความคิดเห็นเกี่ยวกับวรรณคดีที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,2,ท 1.1 ป.3/9,มีมารยาทในการอ่าน,ท 5.1 ป.3/3,แสดงความคิดเห็นเกี่ยวกับวรรณคดีที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,2,ท 4.1 ป.3/3,ใช้พจนานุกรมค้นหาความหมายของคํา,ท 5.1 ป.3/3,แสดงความคิดเห็นเกี่ยวกับวรรณคดีที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,1,การอ่าน,ท 5,ท 5.1,5.1 เข้าใจและแสดงความคิดเห็น วิจารณ์วรรณคดีและวรรณกรรมไทยอย่างเห็นคุณค่า และนํามาประยุกต์ใช้ในชีวิตจริง,2,ท 5.1 ป.3/1,ระบุข้อคิดที่ได้จากการอ่านวรรณกรรมเพื่อนําไปใช้ในชีวิตประจําวัน,ท 5.1 ป.3/3,แสดงความคิดเห็นเกี่ยวกับวรรณคดีที่อ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 2,ท 2.1,2.1 ใช้กระบวนการเขียนสื่อสาร เขียนเรียงความ ย่อความ และเขียนเรื่องราวในรูปแบบต่าง ๆ เขียนรายงานข้อมูลสารสนเทศและรายงานการศึกษาค้นคว้าอย่างมีประสิทธิภาพ,3,ท 2.1 ป.3/1,คัดลายมือตัวบรรจงเต็มบรรทัด,ท 2.1 ป.3/2,เขียนบรรยายเกี่ยวกับสิ่งใดสิ่งหนึ่งได้อย่างชัดเจน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,3,ท 2.1 ป.3/3,เขียนบันทึกประจําวัน,ท 2.1 ป.3/2,เขียนบรรยายเกี่ยวกับสิ่งใดสิ่งหนึ่งได้อย่างชัดเจน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาไทย,2,การเขียน,ท 4,ท 4.1,4.1 เข้าใจธรรมชาติของภาษาและหลักภาษาไทย การเปลี่ยนแปลงของภาษาและพลังของภาษา ภูมิปัญญาทางภาษา และรักษาภาษาไทยไว้เป็นสมบัติของชาติ,3,ท 2.1 ป.3/4,เขียนจดหมายลาครู,ท 2.1 ป.3/2,เขียนบรรยายเกี่ยวกับสิ่งใดสิ่งหนึ่งได้อย่างชัดเจน
